Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0162506459077204,-0.000768382912740857,0.00732395651440085,0,0,0,0.335689464917203,0.000253504878934353,-1.60555371062766E-07,-6.55398627349617E-08,0.000634919778071858,4.97853319702218E-09,0.000739141335180698,0,0,0,0,0,0,package://pupper_description/meshes/base_link.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://pupper_description/meshes/base_link.STL,,"Body^Stanford-1/Top^Body_Stanford-1;Body^Stanford-1/Body-3^Body_Stanford-1;左腿-2/CLS6336HV^Hip-1;Body^Stanford-1/Bottom^Body_Stanford-1;Body^Stanford-1/Body-1^Body_Stanford-1;Body^Stanford-1/Body-2^Body_Stanford-1;Body^Stanford-1/Body-0^Body_Stanford-1;左腿-1/CLS6336HV^Hip-1;右腿-2/CLS6336HV^Hip-1;右腿-1/CLS6336HV^Hip-1;Raspberry Pi 4 Model B^Stanford-1/2X USB3^Raspberry Pi 4 Model B_Stanford-1;Rpi_4_Case_official_rPI_HDMI_cable^Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Gigabit Ethernet Port, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/2X USB2^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Broadcom BCM2711B0 CPU, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/PCB, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Female USB Type C Connector, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Female Micro HDMI Connector, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-2;Raspberry Pi 4 Model B^Stanford-1/Display Connector, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/MxL7704 Universal PMIC, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/2^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/2 (1)^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Cypress CYW43455 Wireless Module Cover, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Broadcom BCM54213PE Gigabit Ethernet Transceiver, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/91D77 D9WHV 778K, 4 GB LPDDR4 SDRAM, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/VIA VL805 PCIe USB 3^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Camera Connector, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Microphone Plug, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/Female Micro HDMI Connector, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1;Raspberry Pi 4 Model B^Stanford-1/SD Card Slot, RPi4ModelB^Raspberry Pi 4 Model B_Stanford-1",global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF1_LINK,0.0094994,0.027635,0.00025,0,0,0,0.094473,1.5221E-05,-1.4855E-07,4.5494E-12,2.5726E-05,2.8306E-12,3.1268E-05,0,0,0,0,0,0,package://pupper_description/meshes/LF1_LINK.STL,0.97255,0.96863,0.92941,1,0,0,0,0,0,0,package://pupper_description/meshes/LF1_LINK.STL,,左腿-2/Hub^Hip-1/Hub-6^Hub_Hip-1;左腿-2/Hub^Hip-1/Servo Disc^Hub_Hip-1;左腿-2/Hub^Hip-1/Hub-5^Hub_Hip-1;左腿-2/Hub^Hip-1/CLS6336HV^Hub_Hip-2;左腿-2/Hub^Hip-1/Standoff^Hub_Hip-1;左腿-2/Hub^Hip-1/Standoff^Hub_Hip-3;左腿-2/Hub^Hip-1/Standoff^Hub_Hip-4;左腿-2/Hub^Hip-1/91239A115^Hub_Hip-2;左腿-2/Hub^Hip-1/91239A120^Hub_Hip-4;左腿-2/Hub^Hip-1/91239A120^Hub_Hip-3;左腿-2/Hub^Hip-1/96817A510^Hub_Hip-3;左腿-2/Hub^Hip-1/96817A510^Hub_Hip-4;左腿-2/Hub^Hip-1/91239A115^Hub_Hip-4;左腿-2/Hub^Hip-1/Standoff^Hub_Hip-2;左腿-2/Hub^Hip-1/CLS6336HV^Hub_Hip-1,CLF1,LF1,LF1_JOINT,revolute,0.099975,0.04,0,0,0,0,base_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
LF2_LINK,8.63889040983445E-06,-0.00264214982950654,-0.0468905689760424,0,0,0,0.00644071659973786,5.26275766273341E-06,2.03466286066589E-10,-1.46928289646369E-09,5.33125013464116E-06,1.13871622606723E-08,9.44068380084752E-08,0,0,0,0,0,0,package://pupper_description/meshes/LF2_LINK.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://pupper_description/meshes/LF2_LINK.STL,,左腿-2/Hobbypark 25T Servo Horn^Hip-2;左腿-2/Upper Leg^Hip-1;左腿-2/7806K55^Hip-1,CLF2,LF2,LF2_JOINT,revolute,5E-05,0.03055,0.00025,0,0,0,LF1_LINK,0,1,0,0,0,-3.14,3.14,,,,,,,,
LF3_LINK,-0.000129924191800565,0.000999999999223906,-0.0471721311968218,0,0,0,0.00294874734742106,5.75461588434413E-06,-8.92589397030582E-17,5.08834969719319E-08,5.78867940463368E-06,4.73187604955928E-18,3.60293650708631E-08,0,0,0,0,0,0,package://pupper_description/meshes/LF3_LINK.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://pupper_description/meshes/LF3_LINK.STL,,左腿-2/Lower Leg^Hip-1,CLF3,LF3,LF3_JOINT,revolute,0,0.004,-0.1235,0,0,0,LF2_LINK,0,1,0,0,0,-3.14,3.14,,,,,,,,
LF4_LINK,-0.00374090817330411,0.00100000000922303,-2.31021576633517E-05,0,0,0,0.000763173521228735,1.41440985654899E-08,1.06759205123636E-15,5.10047291942637E-09,2.19176215927238E-08,-8.26949588320176E-16,1.73286158974325E-08,0,0,0,0,0,0,package://pupper_description/meshes/LF4_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://pupper_description/meshes/LF4_LINK.STL,,foot-1,CLF4,LF4,LF4_JOINT,fixed,0,0,-0.113931686914599,0,0,0,LF3_LINK,0,0,0,,,,,,,,,,,,
LB1_LINK,0.009585406940762,0.027550529745543,0.00025001153424567,0,0,0,0.0941384775491254,1.52156469339256E-05,-1.48546162320895E-07,4.53779734290037E-12,2.57250339713229E-05,1.51036299293262E-12,3.12633194442149E-05,0,0,0,0,0,0,package://pupper_description/meshes/LB1_LINK.STL,0.972549019607843,0.968627450980392,0.929411764705882,1,0,0,0,0,0,0,package://pupper_description/meshes/LB1_LINK.STL,,左腿-1/Hub^Hip-1/Hub-6^Hub_Hip-1;左腿-1/Hub^Hip-1/Servo Disc^Hub_Hip-1;左腿-1/Hub^Hip-1/Hub-5^Hub_Hip-1;左腿-1/Hub^Hip-1/Standoff^Hub_Hip-1;左腿-1/Hub^Hip-1/Standoff^Hub_Hip-3;左腿-1/Hub^Hip-1/Standoff^Hub_Hip-4;左腿-1/Hub^Hip-1/Standoff^Hub_Hip-2;左腿-1/Hub^Hip-1/91239A115^Hub_Hip-2;左腿-1/Hub^Hip-1/91239A120^Hub_Hip-4;左腿-1/Hub^Hip-1/91239A120^Hub_Hip-3;左腿-1/Hub^Hip-1/91239A115^Hub_Hip-4;左腿-1/Hub^Hip-1/CLS6336HV^Hub_Hip-2;左腿-1/Hub^Hip-1/CLS6336HV^Hub_Hip-1,CLB1,LB1,LB1_JOINT,revolute,-0.10002,0.04,0,0,0,0,base_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
LB2_LINK,8.63889040977894E-06,-0.00264214982950655,-0.0468905689760424,0,0,0,0.00644071659973786,5.26275766273341E-06,2.03466286066644E-10,-1.46928289646651E-09,5.33125013464116E-06,1.13871622606717E-08,9.44068380084752E-08,0,0,0,0,0,0,package://pupper_description/meshes/LB2_LINK.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://pupper_description/meshes/LB2_LINK.STL,,左腿-1/Hobbypark 25T Servo Horn^Hip-2;左腿-1/Upper Leg^Hip-1;左腿-1/7806K55^Hip-1,CLB2,LB2,LB2_JOINT,revolute,5E-05,0.03055,0.00025,0,0,0,LB1_LINK,0,1,0,0,0,-3.14,3.14,,,,,,,,
LB3_LINK,-0.000129924191800551,0.000999999999223872,-0.0471721311968219,0,0,0,0.00294874734742106,5.75461588434412E-06,-8.92589643743615E-17,5.08834969719309E-08,5.78867940463366E-06,4.7300446288409E-18,3.60293650708633E-08,0,0,0,0,0,0,package://pupper_description/meshes/LB3_LINK.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://pupper_description/meshes/LB3_LINK.STL,,左腿-1/Lower Leg^Hip-1,CLB3,LB3,LB3_JOINT,revolute,0,0.004,-0.1235,0,0,0,LB2_LINK,0,1,0,0,0,-3.14,3.14,,,,,,,,
LB4_LINK,-0.00374090817330523,0.00100000000922307,-2.31021576631019E-05,0,0,0,0.000763173521228731,1.41440985654899E-08,1.06759204479509E-15,5.10047291942632E-09,2.19176215927236E-08,-8.26949585156341E-16,1.73286158974323E-08,0,0,0,0,0,0,package://pupper_description/meshes/LB4_LINK.STL,1,1,1,1,0,0,0,0,0,0,package://pupper_description/meshes/LB4_LINK.STL,,foot-2,CLB4,LB4,LB4_JOINT,fixed,0,0,-0.113931686914599,0,0,0,LB3_LINK,0,0,0,,,,,,,,,,,,
RF1_LINK,0.00978050990530506,-0.0277816463189553,0.000284776784619953,0,0,0,0.0934808489889548,1.51756721151915E-05,1.48545790976514E-07,-4.53885830929164E-12,2.57051716804686E-05,2.36070892884399E-12,3.12413127167845E-05,0,0,0,0,0,0,package://pupper_description/meshes/RF1_LINK.STL,0.972549019607843,0.968627450980392,0.929411764705882,1,0,0,0,0,0,0,package://pupper_description/meshes/RF1_LINK.STL,,右腿-2/Hub^Hip-1/Hub-5^Hub_Hip-1;右腿-2/Hub^Hip-1/Standoff^Hub_Hip-2;右腿-2/Hub^Hip-1/Standoff^Hub_Hip-4;右腿-2/Hub^Hip-1/91239A120^Hub_Hip-1;右腿-2/Hub^Hip-1/Standoff^Hub_Hip-3;右腿-2/Hub^Hip-1/91239A115^Hub_Hip-1;右腿-2/Hub^Hip-1/91239A115^Hub_Hip-2;右腿-2/Hub^Hip-1/CLS6336HV^Hub_Hip-2;右腿-2/Hub^Hip-1/91239A120^Hub_Hip-4;右腿-2/Hub^Hip-1/91239A115^Hub_Hip-4;右腿-2/Hub^Hip-1/91239A120^Hub_Hip-3;右腿-2/Hub^Hip-1/96817A510^Hub_Hip-4;右腿-2/Hub^Hip-1/Hub-6^Hub_Hip-1;右腿-2/Hub^Hip-1/CLS6336HV^Hub_Hip-1,CRF1,RF1,RF1_JOINT,revolute,0.10002,-0.04,0,0,0,0,base_link,1,0,0,0,0,-3.14,3.14,,,,,,,,
